playerId,name,height,weight,dob,position,origin
2013794024, Jaeger OMeara,183,82,23-Feb-94,Midfield ,Perth Demons
2016801382, Tom Phillips,187,79,7-May-96,Midfield ,Oakleigh Chargers
2021824066, Ned Reeves,208,96,31-Oct-98,Ruck ,Box Hill
2017838024, Jack Scrimshaw,193,88,4-Sep-98,Defender ,Sandringham Dragons
2009832661, Liam Shiels,183,84,29-Apr-91,Midfield ,Boronia
2012874810, Chad Wingard,183,85,29-Jul-93,Midfield  Forward,Sturt
2018871911, James Worpel,185,85,24-Jan-99,Midfield ,Geelong Falcons
2019665482, Oskar Baker,184,82,25-May-98,Midfield ,Aspley
2021666343, Jake Bowey,175,67,12-Sep-02,Midfield  Forward,Sandringham Dragons
2015665345, Angus Brayshaw,187,87,9-Jan-96,Midfield ,Sandringham Dragons
2014665536, Ben Brown,200,101,20-Nov-92,Forward ,Werribee Tigers
2011669981, Mitch Brown,196,95,28-Aug-90,Forward ,Sandringham Dragons
2019677190, Kade Chandler,174,75,13-Jan-00,Forward ,Norwood
2018705341, Bayley Fritsch,188,82,6-Dec-96,Forward ,Casey Demons
2011718646, Max Gawn,208,109,30-Dec-91,Ruck ,Sandringham Dragons
2015722143, James Harmes,185,82,5-Oct-95,Defender  Midfield,Dandenong Stingrays
2011723717, Michael Hibberd,186,90,3-Jan-90,Defender ,Frankston
2016725603, Jayden Hunt,187,82,3-Apr-95,Defender  Forward,Brighton Grammar
2020747780, Luke Jackson,198,84,29-Sep-01,Ruck ,East Fremantle
2009746213, Neville Jetta,180,83,12-Feb-90,Defender ,Melbourne
2006749514, Nathan Jones,180,87,20-Jan-88,Midfield  Forward,Dandenong Stingrays
2021745011, James Jordon,186,80,20-Dec-00,Midfield ,Oakleigh Chargers
2015765853, Ed Langdon,182,78,1-Feb-96,Midfield ,Sandringham Dragons
2015761111, Jake Lever,195,91,5-Mar-96,Defender ,Calder Cannons
2011771473, Steven May,193,100,10-Jan-92,Defender ,Southern Districts
2011779716, Tom McDonald,194,99,18-Sep-92,Forward ,North Ballarat Rebels
2010772094, Jake Melksham,186,83,29-Aug-91,Forward ,Calder Cannons
2015783703, Alex Neal-Bullen,182,80,9-Jan-96,Forward ,Glenelg
2016799932, Clayton Oliver,187,85,22-Jul-97,Midfield ,Murray Bushrangers
2016803810, Christian Petracca,186,96,4-Jan-96,Forward ,Eastern Ranges
2018802450, Harry Petty,197,83,12-Nov-99,Defender  Forward,Norwood
2020802101, Kysaiah Pickett,170,67,2-Jun-01,Forward ,Woodville-West Torrens
2020821360, Trent Rivers,188,85,30-Jul-01,Defender  Midfield,East Fremantle
2014831646, Christian Salem,183,81,15-Jul-95,Defender ,Sandringham Dragons
2017838949, Joel Smith,191,87,25-Feb-96,Defender ,Geelong Supercats
2018831644, Charlie Spargo,173,71,25-Nov-99,Forward ,Murray Bushrangers
2019831764, Tom Sparrow,183,82,31-May-00,Forward ,South Adelaide
2012848079, Adam Tomlinson,194,96,10-Aug-93,Defender  Midfield,Oakleigh Chargers
2015861428, Aaron Vandenberg,191,90,3-Mar-92,Midfield ,Ainslie
2013864812, Jack Viney,178,84,13-Apr-94,Midfield ,Oakleigh Chargers
2016875200, Sam Weideman,195,97,26-Jun-97,Forward ,Eastern Ranges
2013651330, Jed Anderson,179,81,2-Feb-94,Midfield ,Territory Thunder
2011656008, Shaun Atley,189,86,13-Sep-92,Defender ,Murray Bushrangers
2018669246, Aiden Bonar,188,87,8-Mar-99,Defender ,Dandenong Stingrays
2020661983, Atu Bosenavulagi,180,82,17-Sep-00,Forward ,Oakleigh Chargers
2012678444, Tom Campbell,200,106,2-Nov-91,Forward  Ruck,Bendigo Bombers
2021671581, Charlie Comben,199,82,20-Jul-01,Forward  Ruck,Gippsland Power
2013679173, Aidan Corr,195,97,17-May-94,Defender ,Northern Knights
2010679202, Ben Cunnington,185,88,30-Jun-91,Midfield ,Geelong Falcons
2018687507, Luke Davies-Uniacke,188,85,8-Jun-99,Midfield ,Dandenong Stingrays
2015686612, Trent Dumont,186,87,30-Jun-95,Midfield ,Norwood
2021709219, Eddie Ford,184,73,21-Jun-02,Forward ,Western Jets
2013717746, Taylor Garner,187,88,8-Jan-94,Forward ,Dandenong Stingrays
2008718054, Todd Goldstein,201,103,1-Jul-88,Ruck ,Oakleigh Chargers
2012722939, Aaron Hall,185,85,9-Nov-90,Defender  Forward,Hobart
2019727565, Kyron Hayden,186,86,7-Jun-99,Midfield ,Subiaco
2017767879, Nick Larkey,198,93,6-Jun-98,Forward ,Oakleigh Chargers
2021768073, Charlie Lazzaro,179,73,25-Mar-02,Midfield  Forward,Geelong Falcons
2020773938, Jack Mahony,176,70,12-Nov-01,Midfield  Forward,Sandringham Dragons
2014771514, Luke McDonald,189,89,9-Feb-95,Defender  Midfield,Werribee Tigers
2017775377, Ben McKay,201,95,24-Dec-97,Defender ,Gippsland Power
2015771592, Connor Menadue,187,80,19-Sep-96,Defender ,Western Jets
2021802041, Will Phillips,180,80,22-May-02,Midfield  Forward,Oakleigh Chargers
2011803275, Jared Polec,187,84,12-Oct-92,Midfield ,Woodville-West Torrens
2021805517, Tom Powell,183,74,2-Mar-02,Midfield  Forward,Sturt
2019839062, Bailey Scott,186,73,9-Jul-00,Midfield  Forward,Gold Coast Academy
2017831292, Jy Simpkin,182,75,5-Mar-98,Midfield ,Murray Bushrangers
2021835338, Phoenix Spicer,173,64,30-Jan-02,Midfield  Forward,South Adelaide
2018835819, Jaidyn Stephenson,188,78,15-Jan-99,Midfield  Forward,Eastern Ranges
2010848340, Robbie Tarrant,196,97,25-Apr-89,Defender ,Bendigo Pioneers
2019848070, Curtis Taylor,187,78,6-Apr-00,Forward ,Calder Cannons
2019848953, Tarryn Thomas,189,74,25-Mar-00,Forward ,North Launceston
2014841299, Kayne Turner,180,75,31-Dec-95,Defender  Forward,Wodonga Football
2012844200, Dom Tyson,186,85,8-Jun-93,Midfield ,Oakleigh Chargers
2012874022, Josh Walker,197,100,12-Nov-92,Defender ,Geelong Falcons
2020881875, Tristan Xerri,201,94,15-Mar-99,Forward  Ruck,Western Jets
2019898589, Lachie Young,189,81,6-Apr-99,Defender ,Mt Eliza
2009901211, Jack Ziebell,188,89,28-Feb-91,Midfield  Forward,Murray Bushrangers
2017901846, Cameron Zurhaar,189,90,22-May-98,Forward ,East Fremantle
2016655002, Aliir Aliir,195,97,5-Sep-94,Defender ,East Fremantle
2015653134, Karl Amon,181,71,19-Aug-95,Midfield ,Sandringham Dragons
2021663355, Miles Bergman,186,75,18-Oct-01,Defender  Forward,Sandringham Dragons
2007664906, Travis Boak,183,85,1-Aug-88,Midfield ,Geelong Falcons
2016662686, Riley Bonner,190,85,7-Mar-97,Defender ,West Adelaide
2016669115, Ryan Burton,191,90,31-Jan-97,Defender ,North Adelaide
2019663639, Zak Butters,181,71,8-Sep-00,Forward ,Western Jets
2016664470, Darcy Byrne-Jones,181,75,20-Sep-95,Defender ,Oakleigh Chargers
2014672868, Tom Clurey,193,88,23-Mar-94,Defender ,Murray Bushrangers
2011685707, Charlie Dixon,200,105,23-Sep-90,Forward ,Redland
2019689522, Willem Drew,188,78,1-Oct-98,Midfield ,North Ballarat Rebels
2019688399, Xavier Duursma,186,73,7-Jul-00,Midfield ,Gippsland Power
2014707339, Orazio Fantasia,178,77,14-Sep-95,Defender  Forward,Norwood
2018705908, Kane Farrell,182,74,17-Mar-99,Midfield  Forward,Bendigo Pioneers
2021707277, Martin Frederick,178,74,17-May-00,Defender ,Sudan
2020717789, Mitch Georgiades,191,78,28-Sep-01,Forward ,Subiaco
2007719318, Robbie Gray,183,84,30-Mar-88,Forward ,Oakleigh Chargers
2009724069, Hamish Hartlett,185,83,14-Aug-90,Defender ,West Adelaide
2017722204, Dan Houston,186,83,12-May-97,Defender  Midfield,Oakleigh Chargers
2011746753, Tom Jonas,188,89,9-Jan-91,Defender ,Norwood
2021744647, Lachie Jones,188,88,9-Apr-02,Defender ,-
2019763449, Peter Ladhams,202,95,14-Jan-98,Forward  Ruck,Norwood
2018764219, Jarrod Lienert,195,88,5-Aug-94,Defender ,Sturt
2011765875, Scott Lycett,203,98,26-Sep-92,Ruck ,Port Adelaide Magpies
2017771202, Todd Marshall,198,87,8-Oct-98,Forward ,Murray Bushrangers
2013773131, Sam Mayes,189,88,20-May-94,Midfield ,North Adelaide
2021779675, Jed McEntee,176,76,15-Feb-01,Midfield ,Sturt
2011773387, Trent McKenzie,191,83,3-Apr-92,Defender ,Western Jets
2010777559, Steven Motlop,183,76,12-Mar-91,Forward ,Wanderers
2017804970, Sam Powell-Pepper,187,91,8-Jan-98,Midfield  Forward,East Perth
2009824522, Tom Rockliff,185,85,22-Feb-90,Midfield ,Murray Bushrangers
2019822304, Connor Rozee,185,74,22-Jan-00,Forward ,North Adelaide
2021872465, Dylan Williams,185,79,1-Jul-01,Midfield  Forward,Oakleigh Chargers
2013873126, Ollie Wines,190,99,7-Oct-94,Midfield ,Bendigo Pioneers
2020874600, Boyd Woodcock,179,76,5-Mar-00,Forward ,North Adelaide
2020654979, Jake Aarts,177,75,8-Dec-94,Forward ,Richmond Football Club
2010658214, David Astbury,195,96,26-Feb-91,Defender ,North Ballarat Rebels
2018663038, Liam Baker,173,72,27-Jan-98,Defender  Midfield,Subiaco
2019663723, Noah Balta,194,100,23-Oct-99,Forward  Ruck,Calder Cannons
2017662192, Shai Bolton,175,77,8-Dec-98,Midfield  Forward,South Fremantle
2016661079, Nathan Broad,192,89,15-Apr-93,Defender ,Swan Districts
2011679683, Josh Caddy,186,87,28-Sep-92,Midfield ,Northern Knights
2016673772, Jason Castagna,181,82,12-Jul-96,Forward ,Northern Knights
2016676375, Mabior Chol,198,78,29-Jan-97,Forward  Ruck,Aspley
2019679542, Callum Coleman-Jones,200,102,13-Jun-99,Forward  Ruck,Sturt
2021677886, Riley Collier-Dawkins,189,89,3-Feb-00,Midfield ,Oakleigh Chargers
2008672876, Trent Cotchin,185,86,7-Apr-90,Midfield ,Northern Knights
2020682831, Thomson Dow,182,76,16-Oct-01,Midfield ,Bendigo Pioneers
2007699633, Shane Edwards,182,80,25-Oct-88,Midfield ,North Adelaide
2019699470, Derek Eggmolesse-Smith,180,80,4-May-98,Defender ,Wentworth
2018714804, Ryan Garthwaite,192,91,30-Jun-98,Defender ,Murray Bushrangers
2017716913, Jack Graham,181,82,25-Feb-98,Midfield  Forward,North Adelaide
2010719510, Dylan Grimes,193,90,16-Jul-91,Defender ,Northern Knights
2007727197, Bachar Houli,180,83,12-May-88,Defender ,Western
2015766910, Kane Lambert,178,77,26-Nov-91,Forward ,Williamstown
2011769877, Tom Lynch,199,99,31-Oct-92,Forward ,Dandenong Stingrays
2021772303, Rhyan Mansell,180,70,4-Jun-00,Defender ,Woodville-West Torrens
2010771114, Dustin Martin,187,93,26-Jun-91,Midfield  Forward,Bendigo Pioneers
2021778106, Will Martyn,186,82,29-Mar-01,Midfield ,Brisbane Academy
2015771823, Kamdyn McIntosh,191,91,3-Apr-94,Midfield ,Peel Thunder
2021778136, Ben Miller,195,95,31-Aug-99,Defender ,Subiaco
2019784270, Patrick Naish,182,75,15-Jan-99,Midfield ,Northern Knights
2015789802, Toby Nankervis,199,102,12-Aug-94,Ruck ,North Launceston
2019801558, Matthew Parker,190,75,25-Jan-96,Forward ,South Fremantle
2019805439, Marlion Pickett,184,84,6-Jan-92,Midfield ,South Fremantle
2011807722, Dion Prestia,175,82,12-Oct-92,Midfield ,Calder Cannons
2021823893, Hugo Ralphsmith,186,70,9-Nov-01,Midfield  Forward,Sandringham Dragons
2007822538, Jack Riewoldt,193,92,31-Oct-88,Forward ,Tassie Mariners
2016827316, Daniel Rioli,179,76,16-Apr-97,Forward ,North Ballarat Rebels
2021824998, Maurice Rioli,179,75,1-Sep-02,Midfield  Forward,Oakleigh Chargers
2019827224, Jack Ross,187,85,3-Sep-00,Midfield ,Oakleigh Chargers
2021823551, Samson Ryan,206,96,9-Dec-00,Ruck ,Lions Academy
2016835840, Jayden Short,178,76,24-Jan-96,Defender ,Northern Knights
2019838360, Sydney Stack,179,72,28-Apr-00,Defender ,Federals FC
2013864952, Nick Vlastuin,187,88,19-Apr-94,Defender ,Northern Knights
2017662715, Josh Battle,193,92,1-Sep-98,Midfield  Forward,Dandenong Stingrays
2014668660, Jack Billings,184,79,18-Aug-95,Midfield  Forward,Oakleigh Chargers
2017669102, Dan Butler,182,80,3-Jun-96,Forward ,North Ballarat Rebels
2020667484, Ryan Byrnes,180,81,3-May-01,Midfield ,Sandringham Dragons
